NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
BILE,1,0,0,0,0,1,100,0,0,0,0
BILE DUCT,12,0,0,3,25,7,58.33,1,8.33,1,8.33
BONE,1,0,0,0,0,0,0,1,100,0,0
BREAST,12,0,0,0,0,3,25,9,75,0,0
CEREBROSPINAL FLUID,47,0,0,2,4.26,6,12.77,39,82.98,0,0
COLON,3,0,0,1,33.33,1,33.33,0,0,1,33.33
ESOPHAGUS,3,0,0,0,0,0,0,3,100,0,0
FALLOPIAN TUBES AND OVARIES,5,0,0,0,0,0,0,5,100,0,0
FLUIDS AND OTHER,35,0,0,3,8.57,5,14.29,27,77.14,0,0
FOOT,2,0,0,0,0,0,0,2,100,0,0
GALLBLADDER,2,0,0,0,0,0,0,2,100,0,0
GI,1,0,0,0,0,0,0,1,100,0,0
GU,406,0,0,2,0.49,91,22.41,305,75.12,8,1.97
JOINT,2,0,0,0,0,0,0,2,100,0,0
KIDNEY,3,0,0,1,33.33,0,0,2,66.67,0,0
LIVER,7,0,0,4,57.14,0,0,3,42.86,0,0
LUNG,17,0,0,5,29.41,3,17.65,9,52.94,0,0
LYMPH NODE,136,0,0,38,27.94,12,8.82,79,58.09,7,5.15
MEDIASTINUM,2,0,0,0,0,1,50,1,50,0,0
NECK,8,0,0,2,25,5,62.5,1,12.5,0,0
PANCREAS,35,0,0,22,62.86,4,11.43,9,25.71,0,0
PAROTID GLAND,9,0,0,0,0,1,11.11,7,77.78,1,11.11
PELVIC FLUID,23,0,0,3,13.04,7,30.43,13,56.52,0,0
PERICARDIAL FLUID,6,0,0,2,33.33,2,33.33,2,33.33,0,0
PERITONEAL CAVITY,1,0,0,1,100,0,0,0,0,0,0
PERITONEAL FLUID,84,0,0,18,21.43,8,9.52,57,67.86,0,0
PLEURAL FLUID,113,0,0,12,10.62,10,8.85,91,80.53,0,0
RESPIRATORY,94,0,0,22,23.4,13,13.83,54,57.45,5,5.32
SALIVARY GLANDS,5,0,0,0,0,1,20,1,20,3,60
SKIN,1,0,0,0,0,1,100,0,0,0,0
SMALL INTESTINE,2,0,0,0,0,0,0,0,0,2,100
SOFT TISSUE,3,0,0,3,100,0,0,0,0,0,0
STOMACH,1,0,0,0,0,0,0,0,0,1,100
THYROID,221,0,0,1,0.45,63,28.51,142,64.25,15,6.79
URETER,1,0,0,0,0,0,0,1,100,0,0
URINE,29,0,0,0,0,4,13.79,25,86.21,0,0
UTERINE CONTENTS,1,0,0,0,0,0,0,1,100,0,0
VAGINA,1,0,0,0,0,0,0,1,100,0,0
