NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ANUS,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
BILE,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
BILE DUCT,14,0,0.00,1,7.14,10,71.43,3,21.43,0,0.00
BONE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
BREAST,13,0,0.00,0,0.00,2,15.38,11,84.62,0,0.00
BREAST NIPPLE DISCHARGE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
CEREBROSPINAL FLUID,59,1,1.69,1,1.69,0,0.00,57,96.61,0,0.00
COLON,5,0,0.00,0,0.00,1,20.00,3,60.00,1,20.00
ESOPHAGUS,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
FALLOPIAN TUBES AND OVARIES,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
FLUIDS AND OTHER,17,0,0.00,2,11.76,2,11.76,12,70.59,1,5.88
FOOT,4,0,0.00,0,0.00,0,0.00,4,100.00,0,0.00
GALLBLADDER,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
GU,490,0,0.00,4,0.82,72,14.69,414,84.49,0,0.00
JOINT,4,0,0.00,0,0.00,0,0.00,4,100.00,0,0.00
KIDNEY,3,0,0.00,0,0.00,2,66.67,1,33.33,0,0.00
LIVER,4,0,0.00,3,75.00,0,0.00,1,25.00,0,0.00
LUNG,35,0,0.00,10,28.57,2,5.71,23,65.71,0,0.00
LYMPH NODE,195,0,0.00,39,20.00,18,9.23,134,68.72,4,2.05
MEDIASTINUM,2,0,0.00,2,100.00,0,0.00,0,0.00,0,0.00
NECK,12,0,0.00,3,25.00,4,33.33,2,16.67,3,25.00
PANCREAS,33,0,0.00,16,48.48,7,21.21,10,30.30,0,0.00
PAROTID GLAND,11,0,0.00,1,9.09,5,45.45,5,45.45,0,0.00
PELVIC FLUID,30,0,0.00,1,3.33,0,0.00,29,96.67,0,0.00
PERICARDIAL FLUID,9,0,0.00,0,0.00,1,11.11,8,88.89,0,0.00
PERITONEAL FLUID,78,0,0.00,16,20.51,5,6.41,57,73.08,0,0.00
PLEURA,10,0,0.00,1,10.00,1,10.00,8,80.00,0,0.00
PLEURAL CAVITY,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
PLEURAL FLUID,120,0,0.00,11,9.17,14,11.67,93,77.50,2,1.67
RESPIRATORY,95,0,0.00,11,11.58,18,18.95,65,68.42,1,1.05
SALIVARY GLANDS,11,0,0.00,0,0.00,1,9.09,10,90.91,0,0.00
SOFT TISSUE,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
STOMACH,3,0,0.00,1,33.33,1,33.33,1,33.33,0,0.00
SYNOVIAL FLUID,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
THYROID,364,0,0.00,3,0.82,70,19.23,281,77.20,10,2.75
TRACHEA,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
URETER,4,0,0.00,1,25.00,0,0.00,3,75.00,0,0.00
URINE,6,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00
