NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ADRENAL,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
ANUS,3,0,0.00,0,0.00,1,33.33,2,66.67,0,0.00
BILE,3,0,0.00,1,33.33,0,0.00,2,66.67,0,0.00
BILE DUCT,15,0,0.00,1,6.67,4,26.67,9,60.00,1,6.67
BONE,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
BRAIN,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
BREAST,16,0,0.00,0,0.00,3,18.75,13,81.25,0,0.00
BREAST NIPPLE DISCHARGE,3,0,0.00,0,0.00,1,33.33,2,66.67,0,0.00
BURSA,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
CEREBROSPINAL FLUID,75,5,6.67,6,8.00,3,4.00,60,80.00,1,1.33
COLON,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
ESOPHAGUS,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
FALLOPIAN TUBES AND OVARIES,4,0,0.00,0,0.00,1,25.00,3,75.00,0,0.00
FLUIDS AND OTHER,34,0,0.00,5,14.71,2,5.88,26,76.47,1,2.94
FOOT,6,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00
GU,486,0,0.00,3,0.62,84,17.28,398,81.89,1,0.21
JOINT,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
KIDNEY,3,0,0.00,0,0.00,1,33.33,2,66.67,0,0.00
LIVER,5,0,0.00,3,60.00,1,20.00,1,20.00,0,0.00
LUNG,9,0,0.00,1,11.11,0,0.00,8,88.89,0,0.00
LYMPH NODE,142,0,0.00,35,24.65,12,8.45,84,59.15,11,7.75
MUSCLE,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
NECK,14,0,0.00,2,14.29,5,35.71,6,42.86,1,7.14
PANCREAS,50,0,0.00,28,56.00,9,18.00,13,26.00,0,0.00
PAROTID GLAND,22,0,0.00,2,9.09,5,22.73,9,40.91,6,27.27
PELVIC FLUID,27,0,0.00,4,14.81,4,14.81,19,70.37,0,0.00
PERICARDIAL FLUID,6,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00
PERITONEAL FLUID,89,0,0.00,11,12.36,6,6.74,72,80.90,0,0.00
PERITONEUM,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PLEURAL CAVITY,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
PLEURAL FLUID,174,0,0.00,30,17.24,23,13.22,119,68.39,2,1.15
RESPIRATORY,82,0,0.00,17,20.73,12,14.63,50,60.98,3,3.66
SALIVARY GLANDS,11,0,0.00,0,0.00,4,36.36,5,45.45,2,18.18
SKIN,3,0,0.00,0,0.00,1,33.33,1,33.33,1,33.33
SMALL INTESTINE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
SOFT TISSUE,4,0,0.00,2,50.00,0,0.00,2,50.00,0,0.00
SPINAL CORD,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
STOMACH,4,0,0.00,1,25.00,1,25.00,2,50.00,0,0.00
THYROID,314,0,0.00,3,0.96,95,30.25,199,63.38,17,5.41
URETER,4,0,0.00,0,0.00,2,50.00,2,50.00,0,0.00
URINE,10,0,0.00,0,0.00,1,10.00,9,90.00,0,0.00
UTERUS,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
