NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ANUS,4,0,0.00,0,0.00,0,0.00,4,100.00,0,0.00
BILE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
BILE DUCT,24,0,0.00,4,16.67,7,29.17,13,54.17,0,0.00
BONE,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
BRAIN,2,0,0.00,0,0.00,0,0.00,0,0.00,2,100.00
BREAST,12,0,0.00,0,0.00,2,16.67,9,75.00,1,8.33
BREAST NIPPLE DISCHARGE,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
CEREBROSPINAL FLUID,42,1,2.38,1,2.38,1,2.38,38,90.48,0,0.00
COLON,3,0,0.00,0,0.00,1,33.33,2,66.67,0,0.00
ESOPHAGUS,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
FALLOPIAN TUBES AND OVARIES,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
FLUIDS AND OTHER,31,0,0.00,2,6.45,2,6.45,27,87.10,0,0.00
FOOT,6,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00
GU,423,1,0.24,2,0.47,60,14.18,359,84.87,1,0.24
JOINT,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
KIDNEY,5,0,0.00,0,0.00,0,0.00,5,100.00,0,0.00
LIVER,8,0,0.00,3,37.50,0,0.00,5,62.50,0,0.00
LUNG,17,0,0.00,2,11.76,2,11.76,13,76.47,0,0.00
LYMPH NODE,212,0,0.00,41,19.34,15,7.08,151,71.23,5,2.36
MEDIASTINUM,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
NECK,17,0,0.00,3,17.65,2,11.76,11,64.71,1,5.88
PANCREAS,38,0,0.00,22,57.89,7,18.42,7,18.42,2,5.26
PAROTID GLAND,14,0,0.00,0,0.00,2,14.29,12,85.71,0,0.00
PELVIC FLUID,51,0,0.00,1,1.96,4,7.84,46,90.20,0,0.00
PERICARDIAL FLUID,7,0,0.00,1,14.29,0,0.00,6,85.71,0,0.00
PERITONEAL FLUID,64,0,0.00,12,18.75,3,4.69,49,76.56,0,0.00
PERITONEUM,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
PLEURA,5,0,0.00,0,0.00,1,20.00,4,80.00,0,0.00
PLEURAL FLUID,154,0,0.00,31,20.13,15,9.74,108,70.13,0,0.00
RESPIRATORY,168,0,0.00,22,13.10,18,10.71,122,72.62,6,3.57
SALIVARY GLANDS,10,0,0.00,0,0.00,0,0.00,10,100.00,0,0.00
SKIN,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
SMALL INTESTINE,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00
SOFT TISSUE,7,0,0.00,2,28.57,1,14.29,3,42.86,1,14.29
STOMACH,2,0,0.00,1,50.00,1,50.00,0,0.00,0,0.00
SYNOVIAL FLUID,5,0,0.00,0,0.00,0,0.00,5,100.00,0,0.00
THYROID,419,0,0.00,2,0.48,88,21.00,303,72.32,25,5.97
URETER,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
URINE,3,0,0.00,0,0.00,1,33.33,2,66.67,0,0.00
