NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ANUS,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
BILE,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
BILE DUCT,15,0,0.00,3,20.00,6,40.00,6,40.00,0,0.00
BREAST,14,0,0.00,1,7.14,1,7.14,10,71.43,2,14.29
BREAST NIPPLE DISCHARGE,3,0,0.00,0,0.00,1,33.33,2,66.67,0,0.00
CEREBROSPINAL FLUID,52,3,5.77,0,0.00,8,15.38,41,78.85,0,0.00
COLON,2,0,0.00,2,100.00,0,0.00,0,0.00,0,0.00
ESOPHAGUS,5,0,0.00,0,0.00,1,20.00,4,80.00,0,0.00
EYE,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
FALLOPIAN TUBES AND OVARIES,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
FLUIDS AND OTHER,16,0,0.00,1,6.25,4,25.00,11,68.75,0,0.00
FOOT,4,0,0.00,0,0.00,0,0.00,4,100.00,0,0.00
GU,534,0,0.00,7,1.31,73,13.67,454,85.02,0,0.00
JOINT,5,0,0.00,0,0.00,0,0.00,5,100.00,0,0.00
KIDNEY,6,0,0.00,1,16.67,1,16.67,4,66.67,0,0.00
LIVER,4,0,0.00,1,25.00,0,0.00,3,75.00,0,0.00
LUNG,47,0,0.00,6,12.77,5,10.64,36,76.60,0,0.00
LYMPH NODE,216,0,0.00,38,17.59,14,6.48,153,70.83,11,5.09
NASAL SINUS,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
NECK,11,0,0.00,3,27.27,3,27.27,3,27.27,2,18.18
PANCREAS,43,0,0.00,22,51.16,9,20.93,10,23.26,2,4.65
PAROTID GLAND,17,0,0.00,1,5.88,2,11.76,12,70.59,2,11.76
PELVIC CAVITY,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PELVIC FLUID,36,0,0.00,1,2.78,2,5.56,33,91.67,0,0.00
PERICARDIAL CAVITY,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PERICARDIAL FLUID,8,0,0.00,3,37.50,1,12.50,4,50.00,0,0.00
PERITONEAL CAVITY,2,0,0.00,1,50.00,0,0.00,1,50.00,0,0.00
PERITONEAL FLUID,68,0,0.00,15,22.06,4,5.88,49,72.06,0,0.00
PLEURA,16,0,0.00,5,31.25,3,18.75,8,50.00,0,0.00
PLEURAL CAVITY,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
PLEURAL FLUID,122,0,0.00,23,18.85,15,12.30,84,68.85,0,0.00
PROSTATE,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
RESPIRATORY,129,0,0.00,24,18.60,24,18.60,80,62.02,1,0.78
SALIVARY GLANDS,9,0,0.00,1,11.11,1,11.11,6,66.67,1,11.11
SKIN,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
SOFT TISSUE,10,0,0.00,2,20.00,3,30.00,5,50.00,0,0.00
SYNOVIAL FLUID,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
THYROID,374,0,0.00,3,0.80,68,18.18,290,77.54,13,3.48
URETER,3,0,0.00,0,0.00,1,33.33,2,66.67,0,0.00
URINARY BLADDER,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
URINE,5,0,0.00,1,20.00,1,20.00,3,60.00,0,0.00
