NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ANUS,2,0,0.00,0,0.00,1,50.00,0,0.00,1,50.00
BILE,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
BILE DUCT,10,0,0.00,0,0.00,4,40.00,6,60.00,0,0.00
BREAST,12,0,0.00,0,0.00,1,8.33,10,83.33,1,8.33
CEREBROSPINAL FLUID,55,2,3.64,0,0.00,6,10.91,46,83.64,1,1.82
COLON,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
ESOPHAGUS,2,0,0.00,1,50.00,0,0.00,1,50.00,0,0.00
FALLOPIAN TUBES AND OVARIES,7,0,0.00,0,0.00,1,14.29,5,71.43,1,14.29
FLUIDS AND OTHER,31,0,0.00,1,3.23,9,29.03,20,64.52,1,3.23
FOOT,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
GU,548,0,0.00,4,0.73,91,16.61,451,82.30,2,0.36
JOINT,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
KIDNEY,5,0,0.00,0,0.00,1,20.00,4,80.00,0,0.00
LARYNX,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
LIVER,3,0,0.00,1,33.33,0,0.00,2,66.67,0,0.00
LUNG,26,0,0.00,7,26.92,4,15.38,15,57.69,0,0.00
LYMPH NODE,174,0,0.00,31,17.82,21,12.07,114,65.52,8,4.60
MEDIASTINUM,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
NECK,16,0,0.00,0,0.00,4,25.00,11,68.75,1,6.25
PANCREAS,25,0,0.00,15,60.00,4,16.00,6,24.00,0,0.00
PAROTID GLAND,18,0,0.00,0,0.00,5,27.78,12,66.67,1,5.56
PELVIC CAVITY,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PELVIC FLUID,37,0,0.00,3,8.11,5,13.51,29,78.38,0,0.00
PERICARDIAL FLUID,19,0,0.00,3,15.79,1,5.26,15,78.95,0,0.00
PERITONEAL FLUID,69,0,0.00,8,11.59,12,17.39,48,69.57,1,1.45
PERITONEUM,2,0,0.00,1,50.00,0,0.00,1,50.00,0,0.00
PLEURA,14,2,14.29,4,28.57,2,14.29,6,42.86,0,0.00
PLEURAL CAVITY,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PLEURAL FLUID,129,0,0.00,19,14.73,13,10.08,96,74.42,1,0.78
RESPIRATORY,146,0,0.00,37,25.34,25,17.12,81,55.48,3,2.05
SALIVARY GLANDS,12,0,0.00,0,0.00,2,16.67,6,50.00,4,33.33
SOFT TISSUE,5,0,0.00,0,0.00,3,60.00,2,40.00,0,0.00
STOMACH,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
SYNOVIAL FLUID,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
THYROID,410,0,0.00,1,0.24,87,21.22,301,73.41,21,5.12
URINE,10,0,0.00,0,0.00,2,20.00,8,80.00,0,0.00
VAGINA,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
