NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
BILE,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
BILE DUCT,27,0,0.00,2,7.41,11,40.74,14,51.85,0,0.00
BONE,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
BREAST,15,0,0.00,0,0.00,2,13.33,12,80.00,0,0.00
CEREBROSPINAL FLUID,48,5,10.42,6,12.50,1,2.08,36,75.00,0,0.00
ESOPHAGUS,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
FALLOPIAN TUBES AND OVARIES,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
FLUIDS AND OTHER,40,1,2.50,3,7.50,3,7.50,28,70.00,5,12.50
FOOT,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
GALLBLADDER,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
GI,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
GU,455,0,0.00,3,0.66,81,17.80,371,81.54,0,0.00
JOINT,5,1,20.00,0,0.00,0,0.00,3,60.00,0,0.00
KIDNEY,5,0,0.00,0,0.00,3,60.00,2,40.00,0,0.00
LIVER,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
LUNG,29,0,0.00,4,13.79,6,20.69,19,65.52,0,0.00
LYMPH NODE,209,2,0.96,43,20.57,18,8.61,141,67.46,5,2.39
NECK,16,0,0.00,4,25.00,3,18.75,7,43.75,2,12.50
PANCREAS,28,0,0.00,16,57.14,4,14.29,8,28.57,0,0.00
PAROTID GLAND,18,0,0.00,0,0.00,3,16.67,15,83.33,0,0.00
PELVIC FLUID,62,2,3.23,2,3.23,5,8.06,53,85.48,0,0.00
PERICARDIAL FLUID,13,0,0.00,2,15.38,1,7.69,10,76.92,0,0.00
PERITONEAL FLUID,71,0,0.00,13,18.31,9,12.68,48,67.61,1,1.41
PLEURAL FLUID,196,0,0.00,20,10.20,17,8.67,157,80.10,1,0.51
RESPIRATORY,168,0,0.00,28,16.67,30,17.86,104,61.90,6,3.57
SALIVARY GLANDS,13,0,0.00,1,7.69,7,53.85,4,30.77,1,7.69
SKIN,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
SMALL INTESTINE,3,0,0.00,2,66.67,1,33.33,0,0.00,0,0.00
SOFT TISSUE,9,0,0.00,0,0.00,2,22.22,6,66.67,1,11.11
STOMACH,4,0,0.00,0,0.00,0,0.00,4,100.00,0,0.00
SYNOVIAL FLUID,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
THYROID,415,0,0.00,0,0.00,92,22.17,309,74.46,14,3.37
TONGUE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
TRACHEA,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
URINE,8,0,0.00,0,0.00,0,0.00,8,100.00,0,0.00
