NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ANUS,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
BILE DUCT,14,0,0.00,2,14.29,9,64.29,1,7.14,2,14.29
BREAST,17,0,0.00,2,11.76,4,23.53,10,58.82,1,5.88
BREAST NIPPLE DISCHARGE,5,0,0.00,0,0.00,1,20.00,4,80.00,0,0.00
CEREBROSPINAL FLUID,42,1,2.38,0,0.00,5,11.90,36,85.71,0,0.00
COLON,3,0,0.00,0,0.00,2,66.67,1,33.33,0,0.00
ESOPHAGUS,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
FALLOPIAN TUBES AND OVARIES,4,0,0.00,1,25.00,0,0.00,3,75.00,0,0.00
FLUIDS AND OTHER,33,0,0.00,3,9.09,0,0.00,28,84.85,2,6.06
FOOT,6,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00
GALLBLADDER,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
GI,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
GU,527,0,0.00,4,0.76,87,16.51,436,82.73,0,0.00
JOINT,5,0,0.00,0,0.00,1,20.00,4,80.00,0,0.00
KIDNEY,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
LIVER,8,0,0.00,2,25.00,1,12.50,5,62.50,0,0.00
LUNG,29,0,0.00,8,27.59,2,6.90,18,62.07,1,3.45
LYMPH NODE,213,0,0.00,45,21.13,17,7.98,135,63.38,16,7.51
NECK,12,0,0.00,2,16.67,6,50.00,2,16.67,2,16.67
PANCREAS,39,0,0.00,26,66.67,5,12.82,8,20.51,0,0.00
PAROTID GLAND,12,0,0.00,0,0.00,3,25.00,8,66.67,1,8.33
PELVIC CAVITY,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
PELVIC FLUID,27,0,0.00,3,11.11,3,11.11,20,74.07,1,3.70
PERICARDIAL FLUID,12,0,0.00,2,16.67,1,8.33,8,66.67,1,8.33
PERITONEAL FLUID,99,0,0.00,13,13.13,8,8.08,76,76.77,1,1.01
PLEURA,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PLEURAL FLUID,121,0,0.00,26,21.49,12,9.92,83,68.60,0,0.00
RESPIRATORY,83,0,0.00,14,16.87,5,6.02,58,69.88,6,7.23
SALIVARY GLANDS,8,0,0.00,3,37.50,2,25.00,3,37.50,0,0.00
SKIN,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
SMALL INTESTINE,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
SOFT TISSUE,11,0,0.00,0,0.00,0,0.00,9,81.82,2,18.18
STOMACH,1,0,0.00,0,0.00,0,0.00,0,0.00,1,100.00
SYNOVIAL FLUID,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
THYROID,413,0,0.00,1,0.24,135,32.69,253,61.26,24,5.81
URETER,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
URINE,11,0,0.00,0,0.00,4,36.36,7,63.64,0,0.00
VAGINA,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
