NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ANUS,5,0,0.00,0,0.00,2,40.00,3,60.00,0,0.00
BILE,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
BILE DUCT,18,0,0.00,1,5.56,10,55.56,6,33.33,1,5.56
BREAST,18,0,0.00,1,5.56,1,5.56,16,88.89,0,0.00
CEREBROSPINAL FLUID,68,5,7.35,1,1.47,4,5.88,57,83.82,1,1.47
COLON,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
ESOPHAGUS,5,0,0.00,0,0.00,1,20.00,4,80.00,0,0.00
FALLOPIAN TUBES AND OVARIES,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
FLUIDS AND OTHER,34,0,0.00,1,2.94,7,20.59,26,76.47,0,0.00
FOOT,8,0,0.00,0,0.00,0,0.00,8,100.00,0,0.00
GU,503,0,0.00,3,0.60,67,13.32,431,85.69,2,0.40
JOINT,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
LIVER,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
LUNG,13,0,0.00,3,23.08,2,15.38,8,61.54,0,0.00
LYMPH NODE,173,0,0.00,34,19.65,13,7.51,120,69.36,6,3.47
MEDIASTINUM,2,0,0.00,1,50.00,0,0.00,1,50.00,0,0.00
NECK,10,0,0.00,0,0.00,3,30.00,5,50.00,2,20.00
PALATE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PANCREAS,32,0,0.00,22,68.75,3,9.38,5,15.63,2,6.25
PAROTID GLAND,21,0,0.00,1,4.76,6,28.57,12,57.14,2,9.52
PELVIC FLUID,42,0,0.00,5,11.90,2,4.76,35,83.33,0,0.00
PERICARDIAL FLUID,12,0,0.00,3,25.00,2,16.67,7,58.33,0,0.00
PERITONEAL FLUID,97,0,0.00,14,14.43,12,12.37,70,72.16,1,1.03
PLEURAL FLUID,133,0,0.00,26,19.55,15,11.28,92,69.17,0,0.00
RESPIRATORY,84,0,0.00,15,17.86,11,13.10,55,65.48,3,3.57
SALIVARY GLANDS,12,0,0.00,0,0.00,0,0.00,10,83.33,2,16.67
SKIN,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
SMALL INTESTINE,2,0,0.00,0,0.00,2,100.00,0,0.00,0,0.00
SOFT TISSUE,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
STOMACH,2,0,0.00,0,0.00,0,0.00,1,50.00,1,50.00
THYROID,354,0,0.00,3,0.85,81,22.88,254,71.75,16,4.52
TRACHEA,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
URETER,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
VAGINA,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
