NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ANUS,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
BILE DUCT,31,0,0.00,3,9.68,23,74.19,5,16.13,0,0.00
BONE,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
BONE MARROW,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
BRAIN,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
BREAST,23,0,0.00,1,4.35,2,8.70,18,78.26,2,8.70
CEREBROSPINAL FLUID,80,2,2.50,2,2.50,7,8.75,69,86.25,0,0.00
CERVIX,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
COLON,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
ESOPHAGUS,4,0,0.00,0,0.00,0,0.00,4,100.00,0,0.00
FALLOPIAN TUBES AND OVARIES,9,1,11.11,0,0.00,0,0.00,8,88.89,0,0.00
FLUIDS AND OTHER,35,3,8.57,9,25.71,1,2.86,21,60.00,1,2.86
FOOT,7,0,0.00,0,0.00,0,0.00,7,100.00,0,0.00
GU,462,0,0.00,3,0.65,66,14.29,392,84.85,0,0.00
JOINT,10,1,10.00,0,0.00,0,0.00,8,80.00,1,10.00
KIDNEY,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
LIVER,5,1,20.00,0,0.00,0,0.00,3,60.00,1,20.00
LUNG,43,0,0.00,5,11.63,3,6.98,34,79.07,1,2.33
LYMPH NODE,307,0,0.00,46,14.98,19,6.19,233,75.90,9,2.93
MEDIASTINUM,2,0,0.00,1,50.00,0,0.00,1,50.00,0,0.00
MUSCLE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
NECK,11,0,0.00,3,27.27,2,18.18,6,54.55,0,0.00
PALATE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PANCREAS,31,0,0.00,19,61.29,6,19.35,5,16.13,1,3.23
PARATHYROID,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
PAROTID GLAND,26,0,0.00,2,7.69,5,19.23,17,65.38,2,7.69
PELVIC CAVITY,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PELVIC FLUID,66,0,0.00,1,1.52,5,7.58,60,90.91,0,0.00
PERICARDIAL FLUID,10,0,0.00,1,10.00,1,10.00,8,80.00,0,0.00
PERITONEAL CAVITY,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PERITONEAL FLUID,118,2,1.69,21,17.80,11,9.32,80,67.80,1,0.85
PLEURAL FLUID,233,1,0.43,27,11.59,34,14.59,170,72.96,0,0.00
RESPIRATORY,241,0,0.00,34,14.11,41,17.01,163,67.63,3,1.24
SALIVARY GLANDS,15,0,0.00,1,6.67,2,13.33,10,66.67,2,13.33
SEMINAL VESICLE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
SMALL INTESTINE,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
SOFT TISSUE,9,0,0.00,1,11.11,1,11.11,4,44.44,3,33.33
SPLEEN,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
STOMACH,4,0,0.00,0,0.00,3,75.00,1,25.00,0,0.00
SYNOVIAL FLUID,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
THYROID,482,0,0.00,3,0.62,105,21.78,360,74.69,13,2.70
URINE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
