NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ANUS,3,0,0.00,0,0.00,0,0.00,2,66.67,1,33.33
BILE,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
BILE DUCT,13,0,0.00,1,7.69,9,69.23,3,23.08,0,0.00
BONE,2,0,0.00,0,0.00,0,0.00,1,50.00,1,50.00
BREAST,12,0,0.00,0,0.00,1,8.33,10,83.33,1,8.33
BREAST NIPPLE DISCHARGE,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
CEREBROSPINAL FLUID,64,1,1.56,1,1.56,2,3.13,60,93.75,0,0.00
CERVIX,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
COLON,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
FALLOPIAN TUBES AND OVARIES,4,0,0.00,0,0.00,0,0.00,4,100.00,0,0.00
FLUIDS AND OTHER,28,0,0.00,3,10.71,4,14.29,20,71.43,1,3.57
FOOT,4,0,0.00,0,0.00,0,0.00,4,100.00,0,0.00
GU,540,0,0.00,6,1.11,94,17.41,439,81.30,0,0.00
JOINT,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
KIDNEY,4,0,0.00,1,25.00,1,25.00,2,50.00,0,0.00
LIVER,9,0,0.00,0,0.00,2,22.22,7,77.78,0,0.00
LUNG,34,0,0.00,6,17.65,4,11.76,24,70.59,0,0.00
LYMPH NODE,232,0,0.00,45,19.40,15,6.47,165,71.12,7,3.02
NECK,20,0,0.00,4,20.00,4,20.00,8,40.00,4,20.00
PANCREAS,26,0,0.00,17,65.38,7,26.92,1,3.85,1,3.85
PARATHYROID,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PAROTID GLAND,20,0,0.00,0,0.00,9,45.00,11,55.00,0,0.00
PELVIC FLUID,60,0,0.00,0,0.00,4,6.67,56,93.33,0,0.00
PERICARDIAL FLUID,15,0,0.00,3,20.00,0,0.00,12,80.00,0,0.00
PERITONEAL FLUID,83,0,0.00,9,10.84,7,8.43,66,79.52,0,0.00
PERITONEUM,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
PLEURA,4,0,0.00,0,0.00,1,25.00,3,75.00,0,0.00
PLEURAL FLUID,137,0,0.00,21,15.33,14,10.22,102,74.45,0,0.00
RESPIRATORY,179,0,0.00,26,14.53,28,15.64,124,69.27,1,0.56
SALIVARY GLANDS,8,0,0.00,2,25.00,2,25.00,2,25.00,2,25.00
SKIN,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
SMALL INTESTINE,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
SOFT TISSUE,8,0,0.00,2,25.00,1,12.50,4,50.00,1,12.50
STOMACH,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
SYNOVIAL FLUID,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
THYROID,400,0,0.00,3,0.75,100,25.00,285,71.25,12,3.00
URETER,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0.00
URINE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
